TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0071840," ""cellular component organization or biogenesis""",9.154,4.215,-4.585,6.321,-7.686,0.986,0.018,-1, False
GO:0044237," ""cellular metabolic process""",51.477,-2.475,-5.154,7.071,-19.033,0.891,0.076,-1, False
GO:0009058," ""biosynthetic process""",24.708,-0.507,-6.595,6.752,-11.91,0.918,0.17,-1, False
GO:0034641," ""cellular nitrogen compound metabolic process""",26.444,-4.018,-1.98,6.781,-15.217,0.85,0.175,-1, False
GO:0006796," ""phosphate-containing compound metabolic process""",14.031,-5.062,-4.932,6.506,-1.568,0.883,0.196,-1, False
GO:0016310," ""phosphorylation""",7.82, null, null,6.252,-1.416,0.895,0.738,6796, True
GO:0006793," ""phosphorus metabolic process""",14.335,-5.945,-4.228,6.515,-1.394,0.893,0.197,-1, False
GO:0043170," ""macromolecule metabolic process""",34.507,-1.684,-2.693,6.897,-17.759,0.882,0.202,-1, False
GO:1901360," ""organic cyclic compound metabolic process""",22.607,-0.33,-2.999,6.713,-12.187,0.896,0.209,-1, False
GO:0046483," ""heterocycle metabolic process""",21.847,-4.315,-3.915,6.698,-14.585,0.881,0.226,-1, False
GO:0006725," ""cellular aromatic compound metabolic process""",21.889,-4.915,-3.704,6.699,-13.627,0.881,0.226,-1, False
GO:0032446," ""protein modification by small protein conjugation""",0.925,-3.137,6.106,5.325,-5.113,0.824,0.237,-1, False
GO:0016567," ""protein ubiquitination""",0.833, null, null,5.28,-4.118,0.826,0.924,32446, True
GO:0006807," ""nitrogen compound metabolic process""",45.593,-1.869,-5.534,7.018,-18.719,0.899,0.241,-1, False
GO:0044238," ""primary metabolic process""",49.956,-1.509,-4.824,7.058,-17.507,0.896,0.257,-1, False
GO:0044260," ""cellular macromolecule metabolic process""",25.538,-3.453,1.091,6.766,-20.654,0.795,0.264,-1, False
GO:0051128," ""regulation of cellular component organization""",1,5.163,0.689,5.359,-1.96,0.738,0.274,-1, False
GO:0071704," ""organic substance metabolic process""",55.166,-2.178,-4.614,7.101,-16.611,0.892,0.278,-1, False
GO:0048583," ""regulation of response to stimulus""",1.204,4.606,3.912,5.44,-2.031,0.741,0.28,-1, False
GO:0048518," ""positive regulation of biological process""",2.158,4.794,3.549,5.693,-5.174,0.722,0.3,-1, False
GO:0034613," ""cellular protein localization""",1.588,2.492,-6.421,5.56,-1.916,0.952,0.33,-1, False
GO:0008104," ""protein localization""",3.007, null, null,5.837,-1.545,0.963,0.84,34613, True
GO:0070727," ""cellular macromolecule localization""",1.598, null, null,5.563,-1.795,0.952,0.883,34613, True
GO:0035556," ""intracellular signal transduction""",3.902,4.739,3.1,5.95,-2.071,0.681,0.346,-1, False
GO:1901564," ""organonitrogen compound metabolic process""",32.36,-2.727,-0.714,6.869,-5.435,0.851,0.348,-1, False
GO:0031329," ""regulation of cellular catabolic process""",0.311,5.416,2.954,4.852,-1.63,0.699,0.349,-1, False
GO:0009894," ""regulation of catabolic process""",0.358,5.666,1.315,4.913,-1.707,0.7,0.354,-1, False
GO:0018209," ""peptidyl-serine modification""",0.072,-2.565,7.174,4.218,-1.302,0.872,0.37,-1, False
GO:0043412," ""macromolecule modification""",11.107,-2.745,4.312,6.405,-6.963,0.846,0.391,-1, False
GO:1901576," ""organic substance biosynthetic process""",23.584,-5.958,-0.855,6.732,-11.863,0.813,0.393,-1, False
GO:0044249," ""cellular biosynthetic process""",23.054, null, null,6.722,-11.69,0.803,0.723,1901576, True
GO:0010467," ""gene expression""",11.566,-3.229,4.407,6.422,-11.38,0.844,0.396,-1, False
GO:0051172," ""negative regulation of nitrogen compound metabolic process""",1.309,4.837,1.825,5.476,-4.963,0.594,0.406,-1, False
GO:0009892," ""negative regulation of metabolic process""",1.75, null, null,5.602,-2.674,0.592,0.856,51172, True
GO:0031327," ""negative regulation of cellular biosynthetic process""",0.908, null, null,5.317,-1.782,0.598,0.88,51172, True
GO:0009890," ""negative regulation of biosynthetic process""",0.914, null, null,5.32,-1.598,0.605,0.88,51172, True
GO:0048523," ""negative regulation of cellular process""",2.15, null, null,5.691,-1.39,0.645,0.91,51172, True
GO:0031324," ""negative regulation of cellular metabolic process""",1.406, null, null,5.507,-4.524,0.59,0.924,51172, True
GO:0010605," ""negative regulation of macromolecule metabolic process""",1.653, null, null,5.577,-2.738,0.586,0.95,51172, True
GO:2000113," ""negative regulation of cellular macromolecule biosynthetic process""",0.88, null, null,5.304,-1.551,0.599,0.986,51172, True
GO:0010558," ""negative regulation of macromolecule biosynthetic process""",0.882, null, null,5.305,-1.654,0.602,0.986,51172, True
GO:0006139," ""nucleobase-containing compound metabolic process""",18.964,-5.07,-0.191,6.637,-15.063,0.777,0.427,-1, False
GO:0044267," ""cellular protein metabolic process""",15.14,-3.49,2.472,6.539,-9.22,0.78,0.428,-1, False
GO:0006357," ""regulation of transcription by RNA polymerase II""",1.728,5.215,1.749,5.597,-3.869,0.624,0.435,-1, False
GO:0034248," ""regulation of cellular amide metabolic process""",1.527,5.483,1.996,5.543,-1.97,0.643,0.443,-1, False
GO:0019222," ""regulation of metabolic process""",13.185,4.842,2.742,6.479,-10.542,0.643,0.464,-1, False
GO:0019538," ""protein metabolic process""",19.817,-3.061,2.67,6.656,-5.419,0.811,0.467,-1, False
GO:0032268," ""regulation of cellular protein metabolic process""",2.498,5.3,2.363,5.757,-2.148,0.621,0.471,-1, False
GO:0070647," ""protein modification by small protein conjugation or removal""",1.191,-3.403,5.942,5.435,-5.087,0.827,0.483,-1, False
GO:0051246," ""regulation of protein metabolic process""",2.579,4.892,2.301,5.771,-2.017,0.623,0.497,-1, False
GO:0018193," ""peptidyl-amino acid modification""",2.741,-3.584,5.27,5.797,-2.763,0.806,0.549,-1, False
GO:0006464," ""cellular protein modification process""",8.917, null, null,6.309,-6.975,0.767,0.732,18193, True
GO:0036211," ""protein modification process""",8.917, null, null,6.309,-6.975,0.79,0.808,18193, True
GO:0016570," ""histone modification""",0.405,-1.851,6.566,4.967,-1.774,0.801,0.554,-1, False
GO:0016569," ""covalent chromatin modification""",0.406, null, null,4.968,-1.517,0.823,0.879,16570, True
GO:0016070," ""RNA metabolic process""",8.077,-5.155,1.894,6.266,-12.483,0.761,0.569,-1, False
GO:1901362," ""organic cyclic compound biosynthetic process""",9.746,-6.81,1.194,6.348,-6.478,0.806,0.577,-1, False
GO:0019438," ""aromatic compound biosynthetic process""",8.87,-6.884,0.261,6.307,-6.57,0.8,0.581,-1, False
GO:0009059," ""macromolecule biosynthetic process""",11.377,-4.664,3.124,6.415,-10.959,0.786,0.582,-1, False
GO:0018130," ""heterocycle biosynthetic process""",9.214,-6.774,0.032,6.324,-6.959,0.798,0.587,-1, False
GO:0034470," ""ncRNA processing""",2.543,-5.822,2.989,5.764,-2.396,0.786,0.61,-1, False
GO:0031323," ""regulation of cellular metabolic process""",12.635,5.107,2.17,6.461,-11.609,0.536,0.614,-1, False
GO:0051252," ""regulation of RNA metabolic process""",10.078, null, null,6.362,-6.495,0.535,0.806,31323, True
GO:0019219," ""regulation of nucleobase-containing compound metabolic process""",10.21, null, null,6.368,-8.223,0.544,0.809,31323, True
GO:2000112," ""regulation of cellular macromolecule biosynthetic process""",11.418, null, null,6.417,-8.226,0.529,0.83,31323, True
GO:0009889," ""regulation of biosynthetic process""",11.506, null, null,6.42,-7.629,0.545,0.831,31323, True
GO:0010468," ""regulation of gene expression""",11.879, null, null,6.434,-6.265,0.541,0.838,31323, True
GO:0051171," ""regulation of nitrogen compound metabolic process""",12.433, null, null,6.454,-9.866,0.539,0.847,31323, True
GO:0080090," ""regulation of primary metabolic process""",12.507, null, null,6.456,-10.488,0.539,0.848,31323, True
GO:0060255," ""regulation of macromolecule metabolic process""",12.939, null, null,6.471,-9.83,0.537,0.855,31323, True
GO:0010556," ""regulation of macromolecule biosynthetic process""",11.432, null, null,6.417,-8.417,0.533,0.882,31323, True
GO:0031326," ""regulation of cellular biosynthetic process""",11.487, null, null,6.419,-7.648,0.529,0.883,31323, True
GO:0006355," ""regulation of transcription DNA-templated""",9.898, null, null,6.355,-4.292,0.53,0.889,31323, True
GO:2001141," ""regulation of RNA biosynthetic process""",9.906, null, null,6.355,-4.47,0.53,0.892,31323, True
GO:1903506," ""regulation of nucleic acid-templated transcription""",9.898, null, null,6.355,-4.273,0.53,0.901,31323, True
GO:0044271," ""cellular nitrogen compound biosynthetic process""",14.482,-5.735,0.115,6.52,-9.009,0.777,0.623,-1, False
GO:0034645," ""cellular macromolecule biosynthetic process""",11.134,-4.56,2.22,6.406,-10.804,0.745,0.631,-1, False
GO:0090304," ""nucleic acid metabolic process""",13.823,-4.768,1.342,6.5,-15.545,0.749,0.653,-1, False
GO:0032774," ""RNA biosynthetic process""",2.234,-5.776,2.429,5.708,-6.135,0.764,0.655,-1, False
GO:0006396," ""RNA processing""",3.789,-5.58,2.628,5.938,-1.877,0.773,0.666,-1, False
GO:0034660," ""ncRNA metabolic process""",3.716, null, null,5.929,-1.738,0.773,0.705,6396, True
GO:0010942," ""positive regulation of cell death""",0.101,5.365,0.007,4.362,-2.788,0.675,0.669,-1, False
GO:0043065," ""positive regulation of apoptotic process""",0.088, null, null,4.305,-2.097,0.676,0.806,10942, True
GO:0043068," ""positive regulation of programmed cell death""",0.093, null, null,4.325,-1.809,0.674,0.984,10942, True
GO:0034654," ""nucleobase-containing compound biosynthetic process""",6.681,-6.141,0.823,6.184,-6.839,0.771,0.678,-1, False
GO:0051276," ""chromosome organization""",2.083,1.236,8.173,5.678,-2.351,0.931,0.683,-1, False
